screen,title,area,relative_url,local_url
"77","Mentor Review Pending","Venture Continuation","pages/077.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/077.html"
"78","Mentor Changes Requested","Venture Continuation","pages/078.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/078.html"
"79","Venture Stage Resubmission","Venture Continuation","pages/079.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/079.html"
"80","Venture Stage Unlocked","Venture Continuation","pages/080.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/080.html"
"81","Venture Workspace Overview","Venture Golden Master","pages/081.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/081.html"
"82","Unified Video Course Lesson","Course Experience","pages/082.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/082.html"
"83","Unified Text Course Lesson","Course Experience","pages/083.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/083.html"
"84","Unified Mixed Example Lesson","Course Experience","pages/084.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/084.html"
"85","Programming Foundations Catalog","Free Acquisition","pages/085.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/085.html"
"86","Free C Course Detail","Free Acquisition","pages/086.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/086.html"
"87","Free C Text Lesson","Free Learning","pages/087.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/087.html"
"88","Free C Plus Plus Course Detail","Free Acquisition","pages/088.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/088.html"
"89","Free C++ Video Lesson","Free Learning","pages/089.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/089.html"
"90","Paid DSA Course Detail","Paid Learning","pages/090.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/090.html"
"91","DSA Graph Traversal Simulation","Interactive Simulation","pages/091.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/091.html"
"92","DSA Linked List Simulation","Interactive Simulation","pages/092.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/092.html"
"93","Simulation Lesson Authoring","CMS","pages/093.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/093.html"
"94","Protected Setting Approval Queue","Super Admin","pages/094.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/094.html"
"95","Immutable Publishing Queue","Super Admin","pages/095.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/095.html"
"96","Create a learner account","Authentication","pages/096.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/096.html"
"97","Log in and resume","Authentication","pages/097.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/097.html"
"98","Reset password request","Authentication","pages/098.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/098.html"
"99","Email verification confirmation","Authentication","pages/099.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/099.html"
"100","Catalog filtered results","Discovery","pages/100.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/100.html"
"101","Compare learning paths","Discovery","pages/101.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/101.html"
"102","Full Stack curriculum and delivery","Program","pages/102.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/102.html"
"103","Free enrollment confirmation","Commercial","pages/103.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/103.html"
"104","Preview limit and upgrade","Commercial","pages/104.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/104.html"
"105","Private course invitation","Commercial","pages/105.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/105.html"
"106","Organization course entitlement","Commercial","pages/106.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/106.html"
"107","Hybrid course schedule","Learning","pages/107.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/107.html"
"108","Offline session and attendance","Learning","pages/108.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/108.html"
"109","Course completion checklist","Learning","pages/109.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/109.html"
"110","Exam retry and improvement plan","Exam","pages/110.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/110.html"
"111","Certificate verification not found","Certificate","pages/111.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/111.html"
"112","C exercise compile and run","Learning","pages/112.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/112.html"
"113","C++ vectors practice","Learning","pages/113.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/113.html"
"114","DSA breadth-first search completed","Learning","pages/114.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/114.html"
"115","DSA checkpoint explanation","Learning","pages/115.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/115.html"
"116","Idea intake audience step","Venture","pages/116.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/116.html"
"117","Idea intake solution step","Venture","pages/117.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/117.html"
"118","Idea intake market step","Venture","pages/118.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/118.html"
"119","Idea intake team step","Venture","pages/119.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/119.html"
"120","Idea intake review and submit","Venture","pages/120.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/120.html"
"121","Artifact version history","Venture","pages/121.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/121.html"
"122","Artifact upload and validation","Venture","pages/122.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/122.html"
"123","Mentor assignment and availability","Venture","pages/123.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/123.html"
"124","Stage review decision","Venture","pages/124.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/124.html"
"125","Venture team invitation","Venture","pages/125.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/125.html"
"126","Organization invitation preview","Organization","pages/126.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/126.html"
"127","Organization invitation accepted","Organization","pages/127.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/127.html"
"128","Seat allocation and capacity","Organization","pages/128.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/128.html"
"129","Learner progress detail","Organization","pages/129.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/129.html"
"130","Organization report export","Organization","pages/130.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/130.html"
"131","Content review submission","CMS","pages/131.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/131.html"
"132","Content returned with feedback","CMS","pages/132.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/132.html"
"133","Protected setting comparison","CMS","pages/133.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/133.html"
"134","Publish validation issues","CMS","pages/134.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/134.html"
"135","Published version receipt","CMS","pages/135.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/135.html"
"136","Employee roles and permissions","CMS","pages/136.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/136.html"
"137","Author and reviewer audit history","CMS","pages/137.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/137.html"
"138","Payment failed and retry","Payment","pages/138.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/138.html"
"139","Private offer expired","Payment","pages/139.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/139.html"
"140","Campaign consent exclusions","Operations","pages/140.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/140.html"
"141","Email preview and console receipt","Operations","pages/141.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/141.html"
"142","Webinar registration confirmation","Public","pages/142.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/142.html"
"143","Brochure ready to download","Public","pages/143.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/143.html"
"144","Blog discussion reply","Editorial","pages/144.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/144.html"
"145","Catalog no matching results","Discovery","pages/145.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/145.html"
"146","Investor network and founder introductions","Venture","pages/146.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/146.html"
"147","Investor profile and access request","Venture","pages/147.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/147.html"
"148","Investor application received","Venture","pages/148.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/148.html"
"149","Consented venture showcase","Venture","pages/149.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/149.html"
"150","Investor introduction request","Venture","pages/150.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/150.html"
"151","Introduction request receipt","Venture","pages/151.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/151.html"
"152","Founder pitch visibility and sharing","Venture","pages/152.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/152.html"
"153","Idea admissions review queue","Venture","pages/153.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/153.html"
"154","Idea review and decision","Venture","pages/154.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/154.html"
"155","Idea accepted and stage unlocked","Venture","pages/155.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/155.html"
"156","Idea changes requested and resubmission","Venture","pages/156.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/156.html"
"157","Founder introduction requests","Venture","pages/157.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/157.html"
"158","Course brochure library","Public","pages/158.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/158.html"
"159","ai leadership brochure request","Brochure","pages/159.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/159.html"
"160","ai leadership PDF download","Brochure","pages/160.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/160.html"
"161","applied ml engineering brochure request","Brochure","pages/161.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/161.html"
"162","applied ml engineering PDF download","Brochure","pages/162.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/162.html"
"163","full stack brochure request","Brochure","pages/163.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/163.html"
"164","full stack PDF download","Brochure","pages/164.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/164.html"
"165","data analytics brochure request","Brochure","pages/165.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/165.html"
"166","data analytics PDF download","Brochure","pages/166.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/166.html"
"167","cybersecurity brochure request","Brochure","pages/167.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/167.html"
"168","cybersecurity PDF download","Brochure","pages/168.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/168.html"
"169","space tech brochure request","Brochure","pages/169.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/169.html"
"170","space tech PDF download","Brochure","pages/170.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/170.html"
"171","entrepreneurship brochure request","Brochure","pages/171.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/171.html"
"172","entrepreneurship PDF download","Brochure","pages/172.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/172.html"
"173","c programming fundamentals brochure request","Brochure","pages/173.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/173.html"
"174","c programming fundamentals PDF download","Brochure","pages/174.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/174.html"
"175","cpp essentials brochure request","Brochure","pages/175.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/175.html"
"176","cpp essentials PDF download","Brochure","pages/176.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/176.html"
"177","javascript foundations brochure request","Brochure","pages/177.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/177.html"
"178","javascript foundations PDF download","Brochure","pages/178.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/178.html"
"179","data structures algorithms brochure request","Brochure","pages/179.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/179.html"
"180","data structures algorithms PDF download","Brochure","pages/180.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/180.html"
"181","Accepted idea: Stage 1 workspace","Venture","pages/181.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/181.html"
"182","Stage 1 evidence submitted for review","Venture","pages/182.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/182.html"
"183","Learning formats, practice and certification hub","Learning","pages/183.html","https://gajapathiks.github.io/SamkhyaAcademy/pages/183.html"
