screen,name,area,route,role,status,primary_links,screenshot
"21","Exam Start / Instructions","Exam","/experience-preview/21","public","implemented","Start attempt","generated/21-exam-start-instructions.png"
"22","Exam Question Taking","Exam","/experience-preview/22","public","implemented","Navigate / submit","generated/22-exam-question-taking.png"
"23","Exam Result","Exam","/experience-preview/23","public","implemented","Review / retry / certificate","generated/23-exam-result.png"
"24","Certificate + Verification","Certificate","/experience-preview/24","public","implemented","Download / verify / share","generated/24-certificate-verification.png"
"25","Venture Stage Workflow","Venture","/venture-builder","learner","implemented","Tasks / artifacts / review","generated/25-venture-stage-workflow.png"
"26","Venture Artifacts & Launch Readiness","Venture","/venture-builder/workspaces/seed-venture-workspace/artifacts","learner","implemented","Upload / submit for review","generated/26-venture-artifacts-launch-readiness.png"
"27","Mentor Review & Feedback","Venture","/platform-admin/venture-builder/seed-venture-workspace/IDEA","mentor","implemented","Respond / resubmit","generated/27-mentor-review-feedback.png"
"28","Venture Milestones / Traction","Venture","/venture-builder/workspaces/seed-venture-workspace/workflow","learner","implemented","Metrics / next milestone","generated/28-venture-milestones-traction.png"
"29","Venture Cohort Admin Dashboard","Mentor/Admin","/experience-preview/29","public","implemented","Review queue / cohort","generated/29-venture-cohort-admin-dashboard.png"
"30","Platform Admin Dashboard","Admin","/experience-preview/30","public","implemented","Users / courses / organizations / CRM","generated/30-platform-admin-dashboard.png"
"31","CMS Course Management List","CMS","/experience-preview/31","public","implemented","Create / edit / publish","generated/31-cms-course-management-list.png"
"32","Create/Edit Course","CMS","/experience-preview/32","public","implemented","Commercial / content setup","generated/32-create-edit-course.png"
"33","Course Pricing Category Admin","CMS","/experience-preview/33","public","implemented","Free / Freemium / Pricing","generated/33-course-pricing-category-admin.png"
"34","Content Type Admin","CMS","/experience-preview/34","public","implemented","Online / Hybrid / Offline","generated/34-content-type-admin.png"
"35","Module & Lesson Builder","CMS","/experience-preview/35","public","implemented","Add / edit / reorder / publish","generated/35-module-lesson-builder.png"
"36","Exam & Question Bank Management","CMS","/experience-preview/36","public","implemented","Question / exam CRUD","generated/36-exam-question-bank-management.png"
"37","Blog CMS Editor","CMS","/experience-preview/37","public","implemented","Draft / preview / publish","generated/37-blog-cms-editor.png"
"38","Webinar CMS Management","CMS","/experience-preview/38","public","implemented","Create / schedule / registrations","generated/38-webinar-cms-management.png"
"39","Faculty & Media Library","CMS","/experience-preview/39","public","implemented","Upload / manage / reuse","generated/39-faculty-media-library.png"
"40","Organization Dashboard","Organization","/experience-preview/40","public","implemented","Members / learning / reports","generated/40-organization-dashboard.png"
"41","Organization Learner Onboarding","Organization","/experience-preview/41","public","implemented","Invite / bulk onboarding","generated/41-organization-learner-onboarding.png"
"42","Organization Assignments & Progress","Organization","/experience-preview/42","public","implemented","Assign / report","generated/42-organization-assignments-progress.png"
"43","Brochure Lead Gate","Lead","/experience-preview/43","public","implemented","Submit details / download","generated/43-brochure-lead-gate.png"
"44","Webinar Registration","Lead","/experience-preview/44","public","context-dependent","Register / confirmation","generated/44-webinar-registration.png"
"45","CRM Leads Dashboard","Operations","/experience-preview/45","public","implemented","Lead detail / follow-up","generated/45-crm-leads-dashboard.png"
"46","CRM Lead Detail & Follow-up","Operations","/experience-preview/46","public","context-dependent","Activity / offer / message","generated/46-crm-lead-detail-follow-up.png"
"47","Campaigns Dashboard","Operations","/experience-preview/47","public","implemented","Email / WhatsApp campaign","generated/47-campaigns-dashboard.png"
"48","WhatsApp Operation Screen","Operations","/experience-preview/48","public","implemented","Template / recipient / send","generated/48-whatsapp-operation-screen.png"
"49","Email Campaign Screen","Operations","/experience-preview/49","public","implemented","Template / segment / schedule","generated/49-email-campaign-screen.png"
"50","Private Discount Offer","Offer","/experience-preview/50","public","implemented","Proceed to payment","generated/50-private-discount-offer.png"
"51","Razorpay Payment Handoff","Payment","/experience-preview/51","public","implemented","Pay / cancel","generated/51-razorpay-payment-handoff.png"
"52","Payment Success + Enrollment","Payment","/experience-preview/52","public","implemented","Start learning","generated/52-payment-success-enrollment.png"
"53","Text Lesson Reader","Learner","/learning-studio/text-lesson?preview=1","learner","implemented","Code example / practice / notes / discussion","generated/53-text-lesson-reader.png"
"54","Interactive Browser Code Lab","Learner","/learning-studio/code-lab?preview=1","learner","implemented","Edit / run / live preview / download","generated/54-interactive-browser-code-lab.png"
"55","Practice Checkpoint","Learner","/learning-studio/practice?preview=1","learner","implemented","Requirements / hints / check solution","generated/55-practice-checkpoint.png"
"56","Code Snippet Library","Learner","/learning-studio/snippets?preview=1","learner","implemented","Copy / export / open in lab","generated/56-code-snippet-library.png"
"57","Downloadable Project Library","Learner","/learning-studio/project-library?preview=1","learner","implemented","Filter / preview / project package","generated/57-downloadable-project-library.png"
"58","Project Package Detail","Learner","/learning-studio/project-detail?preview=1","learner","implemented","GIF preview / file tree / ZIP / milestones","generated/58-project-package-detail.png"
"59","Insights and Blog Index","Public","/blog","public","implemented","Search / categories / article / guides","generated/59-insights-and-blog-index.png"
"60","Rich Blog Article","Public","/blog/building-reliable-ai-systems","public","implemented","Sections / code / checklist / related program","generated/60-rich-blog-article.png"
"61","Lesson Experience Selector","CMS","/platform-admin/content?view=lessonTypes&preview=1","admin","implemented","Video / text / lab / practice / project / quiz","generated/61-lesson-experience-selector.png"
"62","Text Lesson Authoring","CMS","/platform-admin/content?view=articleEditor&preview=1","admin","implemented","Rich blocks / code / callout / preview","generated/62-text-lesson-authoring.png"
"63","Code Lab Authoring","CMS","/platform-admin/content?view=labEditor&preview=1","admin","implemented","Starter files / hints / checks / sandbox policy","generated/63-code-lab-authoring.png"
"64","Project Package Authoring","CMS","/platform-admin/content?view=projectPackage&preview=1","admin","implemented","ZIP / brief / GIF / file tree / rubric","generated/64-project-package-authoring.png"
"65","Code Lab Hint Open","Learner Continuation","/learning-studio/code-lab-hint?preview=1","learner","implemented","Apply hint / return to editor","generated/65-code-lab-hint-open.png"
"66","Practice Checks Failed","Learner Continuation","/learning-studio/practice-failed?preview=1","learner","implemented","Locate errors / return to editor","generated/66-practice-checks-failed.png"
"67","Practice Completion Success","Learner Continuation","/learning-studio/practice-passed?preview=1","learner","implemented","Review / continue","generated/67-practice-completion-success.png"
"68","Mobile Code Preview","Learner Continuation","/learning-studio/code-lab-mobile?preview=1","learner","implemented","Switch device / full-screen preview","generated/68-mobile-code-preview.png"
"69","Lesson Notes Drawer","Learner Continuation","/learning-studio/code-lab-notes?preview=1","learner","implemented","Edit / link to code / save","generated/69-lesson-notes-drawer.png"
"70","Lesson Discussion Drawer","Learner Continuation","/learning-studio/code-lab-discussion?preview=1","learner","implemented","Post / reply / mark helpful","generated/70-lesson-discussion-drawer.png"
"71","Resource Preview Drawer","Learner Continuation","/learning-studio/code-lab-resource?preview=1","learner","implemented","Preview / open / download","generated/71-resource-preview-drawer.png"
"72","Practice Correction State","Learner Continuation","/learning-studio/practice-hint?preview=1","learner","implemented","Use progressive hint / retry","generated/72-practice-correction-state.png"
"73","Idea Intake Validation","Venture Continuation","/venture-builder/experience/intake-error?preview=1","public","implemented","Correct fields / continue","generated/73-idea-intake-validation.png"
"74","Idea Submission Receipt","Venture Continuation","/venture-builder/experience/submitted?preview=1","public","implemented","Track submission / prepare","generated/74-idea-submission-receipt.png"
"75","Active Venture Stage","Venture Continuation","/venture-builder/experience/workflow?preview=1","learner","implemented","Tasks / evidence / submit","generated/75-active-venture-stage.png"
"76","Artifact Library and Upload","Venture Continuation","/venture-builder/experience/artifact?preview=1","learner","implemented","Upload / version / submit","generated/76-artifact-library-and-upload.png"
"77","Mentor Review Pending","Venture Continuation","/venture-builder/experience/review-pending?preview=1","learner","implemented","Track review / view package","generated/77-mentor-review-pending.png"
"78","Mentor Changes Requested","Venture Continuation","/venture-builder/experience/changes?preview=1","learner","implemented","Read rubric / revise","generated/78-mentor-changes-requested.png"
"79","Venture Stage Resubmission","Venture Continuation","/venture-builder/experience/resubmit?preview=1","learner","implemented","Resolve / attach / resubmit","generated/79-venture-stage-resubmission.png"
"80","Venture Stage Unlocked","Venture Continuation","/venture-builder/experience/unlocked?preview=1","learner","implemented","Review history / next stage","generated/80-venture-stage-unlocked.png"
"81","Venture Workspace Overview","Venture Golden Master","/venture-builder/experience/workspace?preview=1","learner","implemented","Tasks / artifacts / mentor / stage resources","generated/81-venture-workspace-overview.png"
"82","Unified Video Course Lesson","Course Experience","/course-experience/video?preview=1","learner","implemented","Modules / player / resources / discussion","generated/82-unified-video-course-lesson.png"
"83","Unified Text Course Lesson","Course Experience","/course-experience/text?preview=1","learner","implemented","Reader / notes / resources / discussion","generated/83-unified-text-course-lesson.png"
"84","Unified Mixed Example Lesson","Course Experience","/course-experience/example?preview=1","learner","implemented","Code / rendered result / practice","generated/84-unified-mixed-example-lesson.png"
"85","Programming Foundations Catalog","Free Acquisition","/programming/catalog?preview=1","public","implemented","C / C++ / DSA","generated/85-programming-foundations-catalog.png"
"86","Free C Course Detail","Free Acquisition","/programming/c-course?preview=1","public","implemented","Enroll free / curriculum","generated/86-free-c-course-detail.png"
"87","Free C Text Lesson","Free Learning","/course-experience/text?track=c&preview=1","learner","implemented","Pointers / examples / practice","generated/87-free-c-text-lesson.png"
"88","Free C Plus Plus Course Detail","Free Acquisition","/programming/cpp-course?preview=1","public","implemented","Enroll free / curriculum","generated/88-free-c-plus-plus-course-detail.png"
"89","Free C++ Video Lesson","Free Learning","/course-experience/video?track=cpp&preview=1","learner","implemented","Classes / notes / discussion","generated/89-free-c-video-lesson.png"
"90","Paid DSA Course Detail","Paid Learning","/programming/dsa-course?preview=1","public","implemented","Preview / enroll / curriculum","generated/90-paid-dsa-course-detail.png"
"91","DSA Graph Traversal Simulation","Interactive Simulation","/programming/dsa-graph?preview=1","learner","implemented","Step / autoplay / inspect state","generated/91-dsa-graph-traversal-simulation.png"
"92","DSA Linked List Simulation","Interactive Simulation","/programming/dsa-list?preview=1","learner","implemented","Insert / remove / inspect pointers","generated/92-dsa-linked-list-simulation.png"
"93","Simulation Lesson Authoring","CMS","/platform-admin/content?view=lessonTypes&preview=1","admin","implemented","Select SVG simulation / configure","generated/93-simulation-lesson-authoring.png"
"94","Protected Setting Approval Queue","Super Admin","/platform-admin/content?view=changeRequests&preview=1","admin","implemented","Compare / approve / reject","generated/94-protected-setting-approval-queue.png"
"95","Immutable Publishing Queue","Super Admin","/platform-admin/content?view=publishing&preview=1","admin","implemented","Validate / publish / reject","generated/95-immutable-publishing-queue.png"
